details,date,description,man_hours,type,location_name,grid_ref
Incident Report #12 1973,"Wednesday, 25 July, 1973 - 00:00","Student, 18 years. Climbing in White Ghyll when he fell about 40ft. sus¬taining leg and shoulder injuries.",NA,Rock climbing,White Ghyll,NA
Incident Report #11 1973,"Saturday, 14 July, 1973 - 00:00","Male, 18 years. Fell about 120ft. into Middlefell Gully from Raven Crag.",NA,Rock climbing,Raven Crag,NA
Incident Report #10 1973,"Tuesday, 3 July, 1973 - 00:00","Boy, 15 years. Walking on Martcrag Moor when he sustained a suspected fracture of his left leg. Carried down the fell by team.",NA,Fellwalking,Mart Crag Moor,NA
Incident Report #9 1973,"Tuesday, 26 June, 1973 - 09:09","Girl, 14 years. Walking on the Band when she sustained a knee injury. She was carried down the fell by companions and assisted to her transport by team members after attention by team doctor.",NA,Fellwalking,The Band,NA
Incident Report #8 1973,"Sunday, 24 June, 1973 - 00:00","Male, 41 years. Climbing on Pavey Ark with his son when he slipped and sustained fatal injuries. Body recovered by the team.",NA,Rock climbing,Pavey Ark,NA
Incident Report #7 1973,"Sunday, 27 May, 1973 - 00:00","Male, 23 years. Slipped on top of Stock Ghyll waterfall Ambleside and fell about 70 feet into the bottom of the waterfall sustaining severe head injuries. Team members assisted ambulance men and police in getting the injured man to safety.",NA,Fellwalking,Stock Ghyll,NA
Incident Report #6 1973,"Thursday, 26 April, 1973 - 00:00","Male, 21 years. Climbing on Gimmer Cragg when he slipped and sustained arm and rib injuries.",NA,Rock climbing,Gt Langdale,NA
Incident Report #5 1973,"Sunday, 8 April, 1973 - 00:00","Boy, eight years walking in a party up Stickle Ghyll, when he was hit on the head by a stone dislodged on fellside above him.",NA,Fellwalking,Stickle Ghyll,NA
Incident Report #4 1973,"Saturday, 24 March, 1973 - 00:00","Male, 52 years, walking in Dungeon Ghyll above the intakes",NA,Fellwalking,Gt Langdale,NA
Incident Report #3 1973,"Friday, 23 March, 1973 - 00:00","Student, 18 years, slipped whilst descending to the west side of Middlefell gully.",NA,Fellwalking,Middlefell Gulley,NA
Incident Report #2 1973,"Saturday, 3 March, 1973 - 00:00","Man, 25 years, slipped and fell in Upper Dungeon Ghyll, Great Langdale. He sustained head injuries and was taken to County Hospital after being brought down off the fell by the team.",NA,Rock Scrambling,Gt Langdale,NA
Incident Report #1 1973,"Tuesday, 2 January, 1973 - 00:00","Team requested to send a small party up Mickleden to Rossett Ghyll and to Angle Tarn, to assist Keswick, who were searching for",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #33 1974,"Sunday, 3 November, 1974 - 15:15","Girl (15), from Reading, suffered a severe asthma attack in Upper Dungeon Ghyll, Langdale. She was treated at the scene by the team doctor and then carried toy the team down the fell, where she was allowed to go back to Y.M.C.A. Lakeside.
Footnote: This school party seemed to be well organised, and it was just unfortunate that this girl had an attack of asthma on the fell. Weather conditions: Intermittent rain, low mist and darkness.",NA,Fellwalking,Gt Langdale,NA
Incident Report #32 1974,"Sunday, 3 November, 1974 - 11:45","Male (25), of Ashington, fell twenty feet while leading a rock climb on Upper Scout Crag, Langdale. He received a broken ankle, bruises and shock. The team carried him down the fell on a stretcher and he was taken to the County Hospital, Kendal.
Footnote: The cause of this accident is unknown and there is nothing to report.
Weather conditions: Dull with drizzle, with wet rocks.",NA,Rock climbing,Upper Scout Crag,NA
Incident Report #31 1974,"Monday, 28 October, 1974 - 15:30","Girl (16), of Reading, collapsed from exposure near the summit of Fairfield. She was reported to be in a serious condition. While the team made their way up to the scene, an R.A.F. helicopter from Acklington was asked to assist. The helicopter found the girl and ferried her down to Ambleside where the team doctor treated her and kept her under observation.",NA,Search,Fairfield,NA
Incident Report #30 1974,"Sunday, 27 October, 1974 - 11:10","A search was made of the Greenhead Ghyll area, Grasmere, on information received that a young girl had fallen into a ghyll. After four hours, the search was called off and nothing was found.
Footnote: This turned out to be a hoax and yet again, valuable team funds were wasted.
Weather conditions: Rain and gale force winds.",NA,Search,Greenhead Ghyll,NA
Incident Report #29 1974,"Saturday, 26 October, 1974 - 17:30","Male (25), of Middlesex, fell twenty feet while leading last pitch on Middle Fell Buttress, Langdale. He received a broken ankle, shock and slight exposure. The team lowered him on a stretcher 120 feet and then a further 200 feet down a steep gulley and then he was taken to the County Hospital, Kendal.
Footnote: Footwear and clothing were only fair. This rescue was carried out in the dark.
Weather conditions: Raining, with low mist.",NA,Rock climbing,Middlefell Buttress,NA
Incident Report #28 1974,"Monday, 21 October, 1974 - 15:40","Girl (14), of Leeds, was reported missing after she had wandered off in the Castle Howe area. The girl's parents had gone to another peak not far away but when they came back, she had gone. The team searched Grasmere and then towards the Castle Howe area. The girl was found on the Ambleside-Langdale road at 4.45 p.m. and the team was recalled at 5.00 p.m.
Footnote: This girl was a reluctant walker although her parents were keen
walkers.
Weather conditions: Clear sunshine, but rather cold.",NA,Fellwalking,Little Tongue,NA
Incident Report #27 1974,"Saturday, 19 October, 1974 - 17:30",A search of Wanstell was started after reports of red flares being seen near the summit. This search was called off after two hours after it was learned that three distress flares had been set off by some speed boat enthusiasts in a local hotel car park.,NA,Search,Wansfell,NA
Incident Report #26 1974,"Sunday, 15 September, 1974 - 14:45","Boy (16) of Coventry, suffered exhaustion and mild exposure during a Duke of Edinburgh Award Scheme expedition at Castle Howe, Blea Crag, Langdale. The team carried him down the fell on a stretcher and he was treated by the team doctor before being allowed home.
Footnote: These four had no previous fell experience. The weather was rainy, and although their footwear was good, there was no sign of water-proofs. Their equipment was far too heavy, and most of their food was in medium or large tins. They gave the impression that they did not think much to ""this fell walking lark"".",NA,Fellwalking,Gt Langdale Beck,NA
Incident Report #25 1974,"Saturday, 14 September, 1974 - 12:15","Male (58), of Blackpool, collapsed at Stickle Tarn, Langdale while walking with friends. The team carried him down the fell on a stretcher and he was taken to the County Hospital, Kendal.
Footnote: This man was very well equipped and experienced.
Weather conditions: Dry and very warm.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #24 1974,"Saturday, 7 September, 1974 - 14:35","Male (21), of Langdale, sustained exposure and shock while ""air bed racing"" on the flooded Langdale Beck at Chapel Stile. He clung to a rock island in the middle of the beck after being swept over a raging weir. The team rescued him from the river and he was treated by the team doctor for exposure.",NA,Swiftwater rescue,Gt Langdale Beck,NA
Incident Report #23 1974,"Wednesday, 21 August, 1974 - 13:30","Female (44), of Worcester Park, Surrey, slipped on wet grass whilst walk¬ing on a footpath at High Grove, Kirkstone, Ambleside, and she received a broken ankle and leg injuries. The team conveyed her down the fell on a stretcher and then she was taken to the County Hospital, Kendal. Footnote: The woman had wandered down the fell path in ordinary clothing and smooth soled shoes. She claimed to be an experienced fell walker, and yet she had left her suitable clothing and footwear in her parked car. Weather conditions: Dull, with low mist and ground conditions were very wet.",NA,Fellwalking,Kirkstone Pass area,NA
Incident Report #22 1974,"Saturday, 10 August, 1974 - 19:10","Female (41), of Chadwell Heath sustained head and neck injuries whilst walking at the foot of Raven Crag, Langdale, She was struck on the head by a rock dislodged by her son. The team carried her down the fell on a stretcher and she was taken to the County Hospital. Kendal. Footnote: This woman had proper equipment and footwear, but failed to realise that you cannot be too careful when people are walking above you. Weather conditions: Dull, intermittent rain, the rocks and ground were very wet.",NA,Fellwalking,Raven Crag,NA
Incident Report #21 1974,"Wednesday, 31 July, 1974 - 19:10","Female (30) of Coniston, was struck by a large stone whilst on Rescue No. 20, and she received leg injuries. The team carried her down on a stretcher and she was taken to the County Hospital, Kendal. Footnote: The stone was dislodged by a party further up the scree who were unconnected with the rescue team and previous accident victim. This woman is a very experienced mountaineer and was assisting with Rescue No. 20 when the accident happened.",NA,Mountain Rescue Incident,Pike O'Stickle Screes,NA
Incident Report #20 1974,"Wednesday, 31 July, 1974 - 18:00","Student (18) of Nottingham, fell while ""scree running"" in Pike O'Stickle, Langdale and he received serious head and shoulder injuries. The team carried him down the scree on a stretcher and then he was taken to the County Hospital, Kendal.
Footnote: This man had fairly good footwear but he was descending the screes in short pants without sufficient leg protection against the stones. He had no previous experience on screes. Weather conditions: dry, clear skies but dull.",NA,Fellwalking,Pike O'Stickle Screes,NA
Incident Report #19 1974,"Monday, 29 July, 1974 - 15:10","Female (33) of Newcastle-under-Lyme slipped and fell about twenty feet on Stone Arthur, Grasmere and she suffered a broken ankle. The team carried her down the fell on a stretcher and she was taken to the County Hospital, Kendal.
Footnote: This woman was very well equipped but the ground conditions were very wet.
Weather conditions: Rain and low mist.",NA,Fellwalking,Stone Arthur,NA
Incident Report #18 1974,"Sunday, 28 July, 1974 - 13:15","Boy (16), from London, slipped and fell about 20 feet on wet rocks at Elterwater Common, Langdale. He sustained head injuries. Team members assisted him off the fell and he was treated by the team doctor in Ambleside.
Footnote: His boots were of the smooth soled type.
Weather conditions: Bad, with rain, mist and very wet ground underfoot.",NA,Fellwalking,Gt Langdale,NA
Incident Report #17 1974,"Tuesday, 16 July, 1974 - 16:00","Female (42), from London, slipped and fell sixty feet on Pike Howe, Langdale. She received serious head, neck and back injuries. The team carried her down the fell on a stretcher and she was taken to the County Hospital, Kendal.
Footnote: This woman had good clothing but her footwear left much to be desired—short Wellingtons with smooth soles. The cause of the accident is something of a mystery: she either slipped or over balanced. Weather conditions: very warm, dry and sunny.",NA,Fellwalking,Pike Howe,NA
Incident Report #16 1974,"Tuesday, 16 July, 1974 - 15:15","Boy (14 years) from Plymouth, slipped on rocks while walking on Crinkle Crags, Langdale, and he sustained ankle and leg injuries. The team carried him down the fell on a stretcher and then he went to the County Hospital, Kendal.
Footnote: This was a well led party and the boy had good equipment and footwear.
Weather conditions: Dry, warm and sunny.",NA,Fellwalking,Gt. Langdale,NA
Incident Report #15 1974,"Sunday, 14 July, 1974 - 15:30","Three boys (all aged 17), from Welwyn Garden City and Blackpool, suffered exposure at the head of Mickieden, Langdale. All three were assisted down the fell and then to the Old Dungeon Ghyll Hotel where they were treated by the team doctor.
Footnote: These boys were on a Duke of Edinburgh expedition, but with the equipment they had, both group and personal, they should never have started out—it was a very bad turn out altogether.
Weather conditions: Very bad, with rain and mist, and ground conditions were very wet. It was very cold for the time of year.",NA,Fellwalking,Mickleden,NA
Incident Report #14 1974,"Sunday, 14 July, 1974 - 15:10","Male (71), of Sheffield, slipped on wet rocks and sustained head and spinal injuries on Todd Crag, Loughrigg. He was carried down the fell on a stretcher by the team and taken to the County Hospital, Kendal. Footnote: This man was very well equipped and experienced but the weather condtions were very bad with rain, mist and ground conditions were very wet and slippery.",NA,Fellwalking,Todd Crag,NA
Incident Report #13 1974,"Sunday, 30 June, 1974 - 15:10","Female (67) from Worcester, slipped on a dry fell side at Greenhead Ghyll, Grasmere and sustained a broken leg. The team carried her down the fell on a stretcher and she was taken to the County Hospital, Kendal. Footnote: This elderly woman was wearing ordinary shoes with smooth soles and her clothing was only fair for fell walking. Weather conditions: Dry, clear and warm.",NA,Fellwalking,Greenhead Ghyll,NA
Incident Report #12 1974,"Thursday, 27 June, 1974 - 17:10","Child (7) from Macolesfield, wandered off from his parents at Harry Place Farm, Langdale, with his dalmation dog, Roc. After a search he was found by the team in a dazed and shocked condition at Penny Rock, Grasmere. A team doctor treated him for shock at Ambleside .",NA,Search,Penny Rock,NA
