title,date,loc,gridref,incident
Female reported stuck on icy slope,2018-03-17,Swallow Scarth ,NY 34283 14439,No press release issued as related to fatality and Keswick MRT leading on informing family.
Assist Keswick MRT with Fatality on Brown Cove Crags,2018-03-17,Brown Cove Crags,NY 32900 15700,Team members were already on Helvellyn and made their way to scene. Sadly the man died from his injuries and was evacuated to Thirlmere by Keswick and Patterdale MRTs.
Priest hole  man with dislocated shoulder,2018-03-03,Close to the Priest Hole - Dove crag,NY 37497 11068,"16.55 Saturday 3 March 2018.Patterdale Mountain Rescue Team were called by Cumbria Constabulary to go to the aid of a 28 year old male who had fallen whilst attempting to get to the Priest hole on Dove crag, sustaining a dislocated shoulder. The injured man along with his companion were fortunate to be found by two very experienced mountaineers, one of which was a doctor and they were able to give the Team valuable information prior to ascending Dove crag. Given the conditions under foot, the terrain and the nature of the injury the Team made the decision to call in Her Majesty's Coastguard helicopter for assistance.The stricken faller was given intravenous analgesia by two of the Team doctors and treated accordingly.He was then winched from the scene by The Coastguard and taken to Carlisle infirmary for further treatment.The volunteers from Patterdale Mountain Rescue team would like to remind people that given the current full Winter conditions only very experienced mountaineers with the right equipment should be attempting to access the Priest hole.The rescue lasted 7.5 hours and was attended by 13 Team members."
Skier Injured on Helvellyn,2018-03-18,Swirral edge,NY 34298 15323,No press release.
Two Fallen Climbers on Great End,2018-03-18,Great End,NY 22699 06716,Press release via Keswick MRT
Cragfast on Ice in Kilnshaw Chimney,2018-03-20,Kilnshaw Chimney - Kirkstone Pass,NY 39815 08580,"05.38am Tuesday 20.March 2018Patterdale Mountain Rescue Team were called by Cumbria Police to go to the aid of a 20 year old man who had become crag fast on snow and ice within Kilnshaw Chimney above the Kirkstone Pass.The Team assembled above and below the stricken young man from Preston, in the chimney itself.A member of the Team was lowered down to the chap who was then tied into the lowering system and lowered further down to safe ground.Patterdale Mountain Rescue Team would like to remind the outdoor community that the fell tops are still in full winter condition and that Ice Axes and Crampons are essential kit, along with the ability to be able to use them. The rescue lasted three hours and was attended by 9 Patterdale Mountain Rescue volunteers."
Person had fall head injury and fitting.,2018-03-25,Beckstones,NY 40200 15200,No press release to be sent. Mike B
Distressed Dog in Deepdale.,2018-04-01,"Braw Crag, Deepdale. ",NY 37884 13191,"The Team were alerted to a dog that appeared to be in distress on Braw Crag, Deepdale. Several Team members went to investigate and found that it was a fit and healthy Fell Hound. The Team met the owner and were able to show her were the dog was. "
"Elderly female with stomach pains, Place Fell above Ullswater",2018-04-14,"Hart Crag, near to Place fell",NY 40954 17291,"As the Team were completing the first rescue of the day and beginning to head back to the Rescue Centre for a cuppa tea, the second callout of the day was received from Cumbria Police, alerting the Team to an elderly female who was suffering stomach pains while walking with friend close to Place Fell.Five Team members headed directly to the location and given the symptoms a request was made for the Helimed58 from Langwathby to attend scene.The lady was assessed and then flown to hospital for further treatment.The rescue lasted 1.5hrs and was attended by 9 unpaid volunteers."
"Striding Edge, Helvellyn, crag fast couple",2018-01-09,"Striding Edge, Helvellyn",NY 34700 14900,"At 14:08hrs volunteer members of Patterdale Mountain Rescue Team were called by Cumbria Police to reports of a couple who were ""crag fast"" on Striding Edge, approx. 200m before the final ascent onto Helvellyn.Team members made their way onto Striding Edge, which is in full winter conditions from the kennels in Grisedale, and traversed along Striding Edge using crampons and ice axes until the couple were located.The couple after assessment, were cold but otherwise uninjured, were provided with ""emergency crampons"" and short roped back along the ridge to safety.We would like to pass on their thanks to three winter climbers who stayed with the couple and kept them safe and warm until the team arrived.The Team would like to emphasis the requirement to be adequately prepared for traversing the ridges in full winter conditions and importantly, be able to use the equipment in an emergency.The incident lasted 6hrs and was attended by 11 team members."
"Sheep rescue, Kirkstone Pass",2018-01-10,Kirkstone Pass,NY 39990 08470,"On 10th January 18, Patterdale Mountain Rescue Team went to the aid of a local farmer to assist in rescuing a sheep who had become cragfast near to Kirkstone Pass.When the Team arrived on scene ""Sean the sheep"" was nowhere to be seen, we believe he may have made his way off safely.The callout lasted 1hr and was attended by 8 Team members"
"Female travelling by car, stuck in snow on Kirkstone Pass",2018-01-20,Kirkstone Pass,NY 40260 08590,"At 19:33hrs members of Patterdale Mountain Rescue Team were alerted by Cumbria Police to a female who had become struck in her car due to snow conditions on the Kirkstone Pass.The Team mobilised a Landrover to investigate as it wasn't possible to contact the female due to no mobile phone reception in the area. When mobile phone contact was eventual made the female confirmed she had accepted a lift from a passing member of the public, she confirmed she was safe and well and on her way to Ambleside.The team was stood down after approximately 1hr"
Couple stuck on Striding Edge,2018-01-27,Striding edge,NY 34981 14935,Patterdale Mountain Rescue Team were called to assist a couple having difficultly on Striding Edge. The couple were assisted by some passing mountaineers who helped them off some difficult ground. Patterdale were assisted by Mountain Rescue colleagues from Penrith and RAF MRT and the couple who were uninjured were guided to safety by the mountaineers who initially found them - for which were are grateful.Parties who intending on going into the fells are reminded that winter conditions still exist and people are advised to be equipped appropriately.
